filename,display_name,spotify_url
"Alan Walker - Dreamer [NCS Release].wav","Alan Walker - Dreamer [NCS Release]","https://open.spotify.com/track/3eClq9oJiACXJZuCsErmWr"
"Cartoon, Daniel Levi, Jéja - On & On (feat. Daniel Levi) [NCS Release].wav","Cartoon, Daniel Levi, Jéja - On & On (feat. Daniel Levi) [NCS Release]","https://open.spotify.com/track/2uZWffKoemZDI0gHcBEcDc"
"DEAF KEV - Invincible  .wav","DEAF KEV - Invincible","https://open.spotify.com/track/5KcKUpTEHMfcoAps9d5BvY"
"Desmeon - Hellcat [NCS Release].wav","Desmeon - Hellcat [NCS Release]","https://open.spotify.com/track/40OyEgqYVumIMRB2K6AsPu"
"Disfigure - Summer Tune [NCS Release].wav","Disfigure - Summer Tune [NCS Release]","https://open.spotify.com/track/2siTnpyYacbHWsUyDv4ZnT"
"Distrion, Electro-Light - Rubik [NCS Release].wav","Distrion, Electro-Light - Rubik [NCS Release]","https://open.spotify.com/track/7bn6unu3BYN96dktpUi9ZB"
"JPB - High [NCS Release].wav","JPB - High [NCS Release]","https://open.spotify.com/track/6x27dffcIjwex7ARnjtYpc"
"JPB, Ashley Apollodor - Defeat The Night (feat. Ashley Apollodor) [NCS Release].wav","JPB, Ashley Apollodor - Defeat The Night (feat. Ashley Apollodor) [NCS Release]","https://open.spotify.com/track/3tRGCpCIGf5ZjiVgSIH9V8"
"Lensko - Sarvagon 2015 [NCS Release].wav","Lensko - Sarvagon 2015 [NCS Release]","https://open.spotify.com/track/6PECwQ2tQ2PjRrEkbNtoDI"
"Maestro Chives, Egzod, Neoni - Royalty [NCS Release].wav","Maestro Chives, Egzod, Neoni - Royalty [NCS Release]","https://open.spotify.com/track/7kUljt0NM5sISL3OGNVxYd"
"Matthew Blake, Tyler Fiore - Upside Down [NCS Release].wav","Matthew Blake, Tyler Fiore - Upside Down [NCS Release]","https://open.spotify.com/track/23OfWLq5P47J8T7nFpYtWp"
"Mendum - Elysium [NCS Release].wav","Mendum - Elysium [NCS Release]","https://open.spotify.com/track/3JlirgM4iuxErRPUj2ZF6w"
"Razihel - Love U [NCS Release].wav","Razihel - Love U [NCS Release]","https://open.spotify.com/track/6HdD9VoQ3fz4mvQ6RRxGEk"
"Spektrem - Shine [NCS Release].wav","Spektrem - Shine [NCS Release]","https://open.spotify.com/track/7jW2dcStZndF9lWRrPUvzV"
"Spektrem, Gabriel Drew, Bloom - Shine (Gabriel Drew & Bloom Remix) [NCS Release].wav","Spektrem, Gabriel Drew, Bloom - Shine (Gabriel Drew & Bloom Remix) [NCS Release]","https://open.spotify.com/track/7rgo73okAxdtiIdPScZDQP?si=219e8c1d99d14ea5"
"Tamlin - Alive [NCS Release].wav","Tamlin - Alive [NCS Release]","https://open.spotify.com/track/7rgo73okAxdtiIdPScZDQP"
"TULE - Fearless [NCS Release].wav","TULE - Fearless [NCS Release]","https://open.spotify.com/track/3AgvVQKgm27NY1MUcKuEPF"
